Abab;00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000f00,00000000,00000000,00000000,00000000,00001f80,00000000,00000000,00000000,00000000,00007fc0,00000000,00000000,00000000,00000000,0000fffc,00000000,00000000,00000000,00000000,0001fffe,00000000,00000000,00000000,00000000,0001ffff,00000000,00000000,00000000,00000000,0001ffff,00000000,00000000,00000000,00000000,0003ffff,00000000,00000000,00000000,00000000,0007ffff,00000000,00000000,00000000,80000000,000fffff,00000000,00000000,00000000,c0000000,001fffff,00000000,00000000,00000000,e0000000,003fffff,00000000,00000000,00000000,f0000000,007fffff,00000000,00000000,00000000,f8000000,007fffff,00000000,00000000,00000000,fc000000,007fffff,00000000,00000000,00000000,fc000000,007fffff,00000000,00000000,00000000,fe000000,007fffff,00000000,00000000,00000000,fe000000,00ffffff,00000000,00000000,00000000,ff000000,00ffffff,00000000,00000000,00000000,ff000000,00ffffff,00000000,00000000,00000000,ff800000,01ffffff,00000000,00000000,00000000,ff800000,03ffffff,00000000,00000000,00000000,ff800000,1fffffff,00000000,00000000,00000000,ffc00000,1fffffff,00000000,00000000,00000000,ffe00000,1fffffff,00000000,00000000,00000000,fff00000,3fffffff,00000000,00000000,00000000,fff00000,3fffffff,00000000,00000000,00000000,fff00000,3fffffff,00000000,00000000,00000000,fff80000,7fffffff,00000000,00000000,00000000,fffe0000,7fffffff,00000000,00000000,00000000,fffe0000,7fffffff,00000000,00000000,00000000,fffe0000,7fffffff,00000000,00000000,00000000,fffe0000,7fffffff,00000000,00000000,00000000,ff800000,3fffffff,00000000,00000000,00000000,00000000,003fe000,00000000,00000000,00000000,00000000,00000000;NA
ImageWidth;5056;11920
ImageHeight;3792;3456
EncodingProcess;0;0
BitsPerSample;8;8
ColorComponents;3;3
YCbCrSubSampling;2 2;2 2
Aperture;2;NA
GPSAltitude;2143.193;NA
GPSDateTime;2017:10:14 10:23:24Z;NA
